model,forecast_horizon_hours,training_rows,test_rows,mae,rmse,r2,model_file
XGBoost,1,27183,6867,1.0295005960549193,2.09055886181122,0.991832910134682,models\xgboost_hourly\xgboost_01h.joblib
XGBoost,2,27183,6866,1.794702309892645,3.56167059636302,0.9762957817817471,models\xgboost_hourly\xgboost_02h.joblib
XGBoost,3,27183,6865,2.196603503022329,4.156865141638581,0.9677131548254196,models\xgboost_hourly\xgboost_03h.joblib
XGBoost,4,27183,6864,2.3735824903963887,4.113205242832275,0.9683898946024874,models\xgboost_hourly\xgboost_04h.joblib
XGBoost,5,27183,6863,2.641862595513839,4.320991181505803,0.9651178385428395,models\xgboost_hourly\xgboost_05h.joblib
XGBoost,6,27183,6862,3.1504194998456243,4.975443313348429,0.9537546887124749,models\xgboost_hourly\xgboost_06h.joblib
XGBoost,7,27183,6861,3.731251466275999,5.873666610516171,0.9355548494480143,models\xgboost_hourly\xgboost_07h.joblib
XGBoost,8,27183,6860,4.2956915630195995,6.756065260506126,0.9147443543672988,models\xgboost_hourly\xgboost_08h.joblib
XGBoost,9,27183,6859,4.771254448140566,7.4556002919861974,0.896183943742451,models\xgboost_hourly\xgboost_09h.joblib
XGBoost,10,27183,6858,5.215377096741844,7.953341169188,0.8818694197977989,models\xgboost_hourly\xgboost_10h.joblib
XGBoost,11,27183,6857,5.529830423582916,8.282737631840975,0.8718924457155652,models\xgboost_hourly\xgboost_11h.joblib
XGBoost,12,27183,6856,5.921591642439852,8.72137005559116,0.8579765105840016,models\xgboost_hourly\xgboost_12h.joblib
XGBoost,13,27183,6855,6.332774655754596,9.253303604463882,0.8401381900672756,models\xgboost_hourly\xgboost_13h.joblib
XGBoost,14,27183,6854,6.7643631299800555,9.824477020174221,0.8198101450908555,models\xgboost_hourly\xgboost_14h.joblib
XGBoost,15,27183,6853,7.1385606186556565,10.283165858102482,0.8026098465556579,models\xgboost_hourly\xgboost_15h.joblib
XGBoost,16,27183,6852,7.497409321728743,10.681203070744449,0.7870525242704488,models\xgboost_hourly\xgboost_16h.joblib
XGBoost,17,27183,6851,7.8211186444771545,11.00713145476696,0.7738790471814148,models\xgboost_hourly\xgboost_17h.joblib
XGBoost,18,27183,6850,8.152126528886113,11.386408761623901,0.7580513771416608,models\xgboost_hourly\xgboost_18h.joblib
XGBoost,19,27183,6849,8.563529142830072,11.926943538056598,0.7345608055326738,models\xgboost_hourly\xgboost_19h.joblib
XGBoost,20,27183,6848,8.936229622252634,12.419962519211166,0.712190978537969,models\xgboost_hourly\xgboost_20h.joblib
XGBoost,21,27183,6847,9.31781896271113,12.917111169997357,0.6887196306461077,models\xgboost_hourly\xgboost_21h.joblib
XGBoost,22,27183,6846,9.723090829049639,13.418488318942487,0.6641214826915671,models\xgboost_hourly\xgboost_22h.joblib
XGBoost,23,27183,6845,10.084840260987042,13.889366847193443,0.6401727577282299,models\xgboost_hourly\xgboost_23h.joblib
XGBoost,24,27183,6844,10.400963507361888,14.320233881617122,0.6175422531281978,models\xgboost_hourly\xgboost_24h.joblib
XGBoost,25,27183,6843,10.703560767423927,14.71113054989444,0.5964227578860564,models\xgboost_hourly\xgboost_25h.joblib
XGBoost,26,27183,6842,11.037300680785526,15.126592306715207,0.5733560719350408,models\xgboost_hourly\xgboost_26h.joblib
XGBoost,27,27183,6841,11.331323279882799,15.481715346199787,0.5531412026349818,models\xgboost_hourly\xgboost_27h.joblib
XGBoost,28,27183,6840,11.571499401784083,15.749982349397891,0.537577675830593,models\xgboost_hourly\xgboost_28h.joblib
XGBoost,29,27183,6839,11.81712549474264,16.05958363396875,0.5192783306589623,models\xgboost_hourly\xgboost_29h.joblib
XGBoost,30,27183,6838,12.103728769396648,16.383819917215902,0.4997328929420417,models\xgboost_hourly\xgboost_30h.joblib
XGBoost,31,27183,6837,12.353895817023368,16.69952156294073,0.4803342519293561,models\xgboost_hourly\xgboost_31h.joblib
XGBoost,32,27183,6836,12.507489803173586,16.916018651635152,0.46684098527183193,models\xgboost_hourly\xgboost_32h.joblib
XGBoost,33,27183,6835,12.64926318578155,17.12393482613905,0.4537241734930375,models\xgboost_hourly\xgboost_33h.joblib
XGBoost,34,27183,6834,12.78061633100278,17.28517648673028,0.4434593587481862,models\xgboost_hourly\xgboost_34h.joblib
XGBoost,35,27183,6833,12.870914003675615,17.37424190153865,0.43778355478975395,models\xgboost_hourly\xgboost_35h.joblib
XGBoost,36,27183,6832,12.95722072074229,17.43726948665661,0.4337720046142324,models\xgboost_hourly\xgboost_36h.joblib
XGBoost,37,27183,6831,13.129910477571372,17.62337890443003,0.4216993161810876,models\xgboost_hourly\xgboost_37h.joblib
XGBoost,38,27183,6830,13.252577341842093,17.789447290602645,0.4108291927006492,models\xgboost_hourly\xgboost_38h.joblib
XGBoost,39,27183,6829,13.314544308498046,17.91283173405073,0.4027092951076643,models\xgboost_hourly\xgboost_39h.joblib
XGBoost,40,27183,6828,13.406198307164734,18.008223710274226,0.39641475504160995,models\xgboost_hourly\xgboost_40h.joblib
XGBoost,41,27183,6827,13.400268347943983,17.956719796755866,0.3999458268969315,models\xgboost_hourly\xgboost_41h.joblib
XGBoost,42,27183,6826,13.474559012166294,17.98608985046893,0.3980650698079863,models\xgboost_hourly\xgboost_42h.joblib
XGBoost,43,27183,6825,13.556741513542203,18.04065085677754,0.39449183494889906,models\xgboost_hourly\xgboost_43h.joblib
XGBoost,44,27183,6824,13.599346021135695,18.09064952942802,0.3912156435355477,models\xgboost_hourly\xgboost_44h.joblib
XGBoost,45,27183,6823,13.662553250221812,18.146968813431975,0.38750449673211385,models\xgboost_hourly\xgboost_45h.joblib
XGBoost,46,27183,6822,13.74602942465338,18.22663070668981,0.38220120887458287,models\xgboost_hourly\xgboost_46h.joblib
XGBoost,47,27183,6821,13.75456153345045,18.24569292338541,0.38099447344545856,models\xgboost_hourly\xgboost_47h.joblib
XGBoost,48,27183,6820,13.798683382968399,18.29666675860436,0.377617618500496,models\xgboost_hourly\xgboost_48h.joblib
XGBoost,49,27183,6819,13.773565868283143,18.25570661066697,0.38048546419563545,models\xgboost_hourly\xgboost_49h.joblib
XGBoost,50,27183,6818,13.909418553122679,18.391838581386303,0.37129724548576803,models\xgboost_hourly\xgboost_50h.joblib
XGBoost,51,27183,6817,13.993230905039002,18.473802923600594,0.3657674330601445,models\xgboost_hourly\xgboost_51h.joblib
XGBoost,52,27183,6816,14.038136694352952,18.539119769774153,0.3613616494043499,models\xgboost_hourly\xgboost_52h.joblib
XGBoost,53,27183,6815,14.064226054515546,18.56175325226879,0.35988853651357966,models\xgboost_hourly\xgboost_53h.joblib
XGBoost,54,27183,6814,14.155960150187688,18.673972868856684,0.35221349869811935,models\xgboost_hourly\xgboost_54h.joblib
XGBoost,55,27183,6813,14.250388226774353,18.743825332437293,0.34744709355571557,models\xgboost_hourly\xgboost_55h.joblib
XGBoost,56,27183,6812,14.282677614611874,18.77149878393762,0.3456079917624749,models\xgboost_hourly\xgboost_56h.joblib
XGBoost,57,27183,6811,14.263442863225762,18.75042748555032,0.34716528085953113,models\xgboost_hourly\xgboost_57h.joblib
XGBoost,58,27183,6810,14.286704613213672,18.76451147473871,0.34627330329151307,models\xgboost_hourly\xgboost_58h.joblib
XGBoost,59,27183,6809,14.298768580091176,18.762824265799857,0.3464799582528387,models\xgboost_hourly\xgboost_59h.joblib
XGBoost,60,27183,6808,14.320096250146312,18.77443681172898,0.3457575801754822,models\xgboost_hourly\xgboost_60h.joblib
XGBoost,61,27183,6807,14.41729544220262,18.834970142604774,0.3416192829746937,models\xgboost_hourly\xgboost_61h.joblib
XGBoost,62,27183,6806,14.511458873048166,18.9627546338442,0.33274407158943375,models\xgboost_hourly\xgboost_62h.joblib
XGBoost,63,27183,6805,14.452464996270622,18.917842034122742,0.33598921786575897,models\xgboost_hourly\xgboost_63h.joblib
XGBoost,64,27183,6804,14.495764573134792,18.931819192113842,0.3350931446046359,models\xgboost_hourly\xgboost_64h.joblib
XGBoost,65,27183,6803,14.439205364814388,18.84847650801399,0.34101916328773485,models\xgboost_hourly\xgboost_65h.joblib
XGBoost,66,27183,6802,14.437077779413777,18.86585274679598,0.3398884684430594,models\xgboost_hourly\xgboost_66h.joblib
XGBoost,67,27183,6801,14.464832916170021,18.897309042553186,0.3377705021257864,models\xgboost_hourly\xgboost_67h.joblib
XGBoost,68,27183,6800,14.454476206162397,18.925952831292243,0.33584684125616004,models\xgboost_hourly\xgboost_68h.joblib
XGBoost,69,27183,6799,14.473055437112981,18.95018618596884,0.3342305906202455,models\xgboost_hourly\xgboost_69h.joblib
XGBoost,70,27183,6798,14.464187081682924,18.97883393530275,0.3323020289256612,models\xgboost_hourly\xgboost_70h.joblib
XGBoost,71,27183,6797,14.485222593517676,19.008922596619072,0.33026622525969906,models\xgboost_hourly\xgboost_71h.joblib
XGBoost,72,27183,6796,14.439354924611164,18.977483518141913,0.3325624636379826,models\xgboost_hourly\xgboost_72h.joblib
